"제품코드","product_cnt","제품명","약식품번(제품번호와같이키값으로사용)"
PEMA033035303,32,CSA5000 삼표(성수),808906
PEMA023058600,31,PEMA-500FR유진(강서),773206
PEMA033088300,26,PEMA-HR1000성진(안양),804357
PEMA033046500,21,PEMA-HR1000신일(송파),766284
PEMA023129801,20,PEMA-PR1000삼일(충주),808625
PEMA063061300,18,PEMA-PCM2000장원(남양주),807627
PEMA013120100,18,PEMA-HR1500성우(영동),807303
PEMA073061300,18,PEMA-PCM2000B장원(남양주),807830
PEMA063041501,17,PEMA-HR1000성진(인천),804371
PEMA053046500,16,PEMA-HR1500신일(송파),805030
PEMA033035307,15,CSA5000삼표(풍납),808518
PEMA013122400,15,PEMA-HR1000성진(부산),807697
SSA073046500,15,AE신일(송파),806264
PEMA033041500,14,PEMA-HR1000성진(동탄),804207
PEMA023024801,13,PEMA-HR1000동진(수원),765783
PEMA023045801,12,PEMA-PR2000신아(영동),806163
PEMA023098200,11,PEMA-580FX세림켐텍,805334
PEMA13031400,11,PEMA-HR1000산하(덕소),804734
PEMA013041507,11,PEMA-HR1000성진도시(화성)구.성진서수원,807955
PEMA013024804,11,PEMA-PR1000동진파일(서산),806064
PEMA033009000,11,PEMA-HR1000나성(나주),774090
PEMA023024804,10,PEMA-PR2000동진파일(서산),806676
SSA013035303,10,AE 삼표(성수),808907
PEMA013105210,10,PEMA-HR1000삼우(대구),805852
PEMA023001000,10,CSA5000강원(인천),765231
PEMA023035315,9,CSA5000삼표(오산),808272
PEMA043041502,9,PEMA-HR1000성진(화성),804178
PEMA023901510,8,PEMA-PR2000동양파일(익산),805213
PEMA013129802,8,PEMA-PR1000삼일(칠서),808627
PEMA043090700,8,PEMA-580FX삼영씨앤텍(양주),808610
PEMA013050400,8,PEMA-HR1000아주(광명),766410
PEMA043101200,8,PEMA-HR1000영진(칠곡),805225
PEMA013046500,8,CSA4000신일(송파),765089
PEMA033049301,8,PEMA-SR2000아세아(안양),808282
PEMA043062000,8,PEMA-SR2000정선(광주),805798
PEMA013033302,8,PEMA-PR1000삼성(단촌),804106
PEMA023041503,8,PEMA-HR1000성진(천안),766196
PEMA013072100,8,PEMA-HR1000태명실업(이천),804920
SSA013035307,8,AE삼표(풍납),808519
PEMA013129800,8,PEMA-PR1000삼일(용인),808622
PEMA033035309,8,CSA5000삼표(용인),808283
PEMA013060100,8,PEMA-HR1000인천(인천),766701
PEMA013085300,7,CSA5000흥국(미사리),765521
PEMA023007400,7,CSA5000금남(여수),806231
PEMA023033303,7,PEMA-PR1000삼성(문경),804500
PEMA013901520,7,PEMA-PR1000동양파일(아산),805211
PEMA023123000,7,PEMA-CR1000신공항(인천),807826
PEMA013901600,7,PEMA-PR1000동양파일(함안),805209
PEMA013117801,6,PEMA-HR1000에스피(광주),807575
PEMA013118500,6,PEMA-HR1000성창(삼척),807027
PEMA013123501,6,PEMA-PCR3000E서문(안산)저가용,808755
PEMA073050413,6,PEMA-580FX아주(가좌),806923
PEMA093001100,6,PEMA-HR1000동해(동해),780326
PEMA143057600,6,PEMA-HR1500한국흄관(울산),781450
PEMA043043200,6,PEMA-SR2000A세진(광주),806677
PEMA033103000,6,PEMA-580FX미래(담양),808469
PEMA033101400,6,PEMA-580FX하나(금산),808193
PEMA063069401,6,CSA5000천마(서울),807458
PEMA553048200,6,CSA5000신우(경주),806024
PEMA023110500,6,PEMA-HR1500신아(울산),805953
PEMA013072700,6,CSA5000태양(대구),779940
PEMA063009000,6,PEMA-SR2000나성(나주),808400
PEMA033014200,6,PEMA-HR1500대성(울산),808213
PEMA013128300,6,PEMA-HR1000경연(원주),808438
PEMA063030500,5,PEMA-SR3000F부산(부산),783316
PEMA013061000,5,PEMA-HR1000일진(양평),766719
PEMA043091500,5,PEMA-SR2000울산(울산),807310
PEMA023109400,5,PEMA-HR1000보광(대구),806904
PEMA023041301,5,PEMA-SR2000성원(단양),806583
PEMA013111300,5,CSA5000대원(청주),806021
PEMA013046900,5,PEMA-HR1000신진(대구),780553
PEMA043062007,5,PEMA-SR2000정선(의정부),808828
PEMA023104400,5,PEMA-HR1500대안(옥계),808195
PEMA623022500,5,PEMA-HR1000대아(함안),805536
PEMA013013010,5,PEMA-HR1000대동(대구),805956
PEMA053049403,5,PEMA-HR1000아이에스(이천),806822
PEMA353048300,5,PEMA-HR1000제일(청양),766760
PEMA033040000,5,PEMA-580FX성보넥스코(남원),808611
PEMA033030500,5,PEMA-HR1500부산(부산),781193
PEMA063023200,5,PEMA-SR2000A동양(광주),808797
PEMA033041501,5,PEMA-SR3000F성진(인천),768618
PEMA013049402,5,PEMA-PR10001.5%아이에스(청양),804639
PEMA013107101,5,PEMA-580FX상동(평택)-1팀,808309
PEMA013112900,5,PEMA-HR1000영동(동해),806283
PEMA043031800,5,PEMA-PCM2000삼덕(평택),808698
PEMA013099150,5,PEMA-580FX쌍용(부천),806511
PEMA013125010,5,PEMA-HR1000디엘이앤씨(포항),808875
PEMA013121600,4,PEMA-HR1000원신(파주),807550
PEMA043046101,4,PEMA-SR2000신우(울산),807408
PEMA013119500,4,PEMA-HR1000일진(횡성),807176
PEMA023099800,4,PEMA-HR1000영진(경주),805009
PEMA043030401,4,PEMA-HR1000부국(부천)공기량낮은TYPE,804245
PEMA013020300,4,CSA5000동남(장수),773732
PEMA033030400,4,CSA4000부국(대전),804856
PEMA013099140,4,PEMA-HR1000쌍용(평택),806455
PEMA033002600,4,PEMA-HR1500경동(부산),804300
PEMA013104200,4,PEMA-HR1500무창(산청),805450
PEMA013049303,4,PEMA-HR1000아세아(약목),804133
PEMA013046101,4,PEMA-HR1500신우(울산),805361
PEMA023105100,4,PEMA-HR1000삼우(경산),805829
PEMA013032302,4,PEMA-HR1000아세아(수원),766381
PEMA013032200,4,PEMA-HR1000삼보(완주),774356
PEMA253048300,4,PEMA-HR1000서해(태안),766090
PEMA013030401,4,PEMA-HR1000부국(부천),765901
PEMA013131100,4,PEMA-HR1000황원(고성),808788
PEMA013089230,4,PEMA-HR1000고려(서인천),806598
PEMA053062006,4,PEMA-SR2000정선(남서울),808693
SSA013082500,4,AE현대(안성),804256
PEMA013039505,4,PEMA-HR1000선일(수원),804832
PEMA013103400,4,PEMA-HR1000현대(동해),805345
PEMA013037300,4,PEMA-HR1000서보(평택),766022
PEMA033074100,4,PEMA-580FX파워텍(음성),806762
PEMA013082500,4,PEMA-HR1000현대(안성),804255
PEMA003039101,4,CSA5000석진(음성),804589
PEMA053031200,4,PEMA-HR1500산양(진해),805425
PEMA013041301,4,PEMA-HR1500성원(단양),775164
PEMA023125200,4,PEMA-HR1500세진(부산),808023
PEMA043099300,4,CSA5000대왕(안성),807857
PEMA013048900,4,PEMA-HR1000아성(남원),805751
PEMA013116420,4,PEMA-SR2000해양개발(울산),808422
PEMA063048100,4,PEMA-HR1500구암(담양),774840
PEMA013043200,4,PEMA-HR1000세진(광주),766225
PEMA013123000,4,PEMA-SR2000신공항(인천),807806
PEMA013010900,4,PEMA-HR1000내포(홍성),765708
PEMA043110500,4,PEMA-SR2000신아(울산),807387
PEMA023100800,4,PEMA-HR1000대종(경주),805105
PEMA013126200,4,PEMA-580FX케이알(음성),808112
PEMA023035314,4,CSA5000삼표(남부),808124
PEMA013082100,4,PEMA-HR1500대원씨앤엠(울산),804749
PEMA033006900,4,PEMA-HR1500대상(의령),781003
PEMA023035303,4,PEMA-SR3000F삼표(성수),768491
PEMA043080115,4,PEMA-SR2000한일(대구),808640
PEMA013125500,4,PEMA-HR1000명진(논산),808031
PEMA013128700,4,CSA5000 은성(천안),808458
PEMA043042900,4,CSA5000세종(여주),806887
PEMA053041502,4,PEMA-SR2000성진(화성),808158
