,예상중량,제품명
2022-01-11,169806.91891853543,PEMA-HR1000
2022-01-18,283976.93425361137,PEMA-HR1000
2022-01-25,421311.4202598223,PEMA-HR1000
2022-02-01,187202.67916847864,PEMA-HR1000
2022-02-08,468873.1436924988,PEMA-HR1000
2022-02-15,370923.62881600583,PEMA-HR1000
2022-02-22,362689.06854186545,PEMA-HR1000
2022-03-01,336198.45094819623,PEMA-HR1000
2022-03-08,329494.25285416446,PEMA-HR1000
2022-03-15,316073.7410105127,PEMA-HR1000
2022-03-22,769432.9177515507,PEMA-HR1000
2022-03-29,702561.5740326984,PEMA-HR1000
2022-01-11,69789.92342753468,PEMA-PR1000
2022-01-18,77791.39007896779,PEMA-PR1000
2022-01-25,57489.77837435115,PEMA-PR1000
2022-02-01,50754.00075431105,PEMA-PR1000
2022-02-08,135772.98029632834,PEMA-PR1000
2022-02-15,100034.63438903594,PEMA-PR1000
2022-02-22,30229.789910219995,PEMA-PR1000
2022-03-01,151515.15283659304,PEMA-PR1000
2022-03-08,163569.4502924847,PEMA-PR1000
2022-03-15,83379.20014621946,PEMA-PR1000
2022-03-22,127447.56262761861,PEMA-PR1000
2022-03-29,28967.16256111765,PEMA-PR1000
2022-01-11,6046.906070544916,PEMA-SR2000
2022-01-18,0.0,PEMA-SR2000
2022-01-25,40192.31109097602,PEMA-SR2000
2022-02-01,26477.259723849085,PEMA-SR2000
2022-02-08,111811.83184493822,PEMA-SR2000
2022-02-15,35165.57586301666,PEMA-SR2000
2022-02-22,17078.695707627005,PEMA-SR2000
2022-03-01,61891.07866642539,PEMA-SR2000
2022-03-08,0.0,PEMA-SR2000
2022-03-15,82704.3890097514,PEMA-SR2000
2022-03-22,54558.69670659037,PEMA-SR2000
2022-03-29,38492.771919365325,PEMA-SR2000
2022-01-11,9876.638488900655,PEMA-SR3000F
2022-01-18,21238.831036372772,PEMA-SR3000F
2022-01-25,18319.960929284312,PEMA-SR3000F
2022-02-01,24411.62090434515,PEMA-SR3000F
2022-02-08,50864.05545448137,PEMA-SR3000F
2022-02-15,41489.811373260236,PEMA-SR3000F
2022-02-22,14516.891773429576,PEMA-SR3000F
2022-03-01,32382.374447966347,PEMA-SR3000F
2022-03-08,37737.756984288244,PEMA-SR3000F
2022-03-15,19170.045065509545,PEMA-SR3000F
2022-03-22,24202.75766007753,PEMA-SR3000F
2022-03-29,43515.02515212363,PEMA-SR3000F
2022-01-11,4710.386481823686,CSA4000
2022-01-18,7978.333846751203,CSA4000
2022-01-25,17574.525339469208,CSA4000
2022-02-01,0.0,CSA4000
2022-02-08,0.0,CSA4000
2022-02-15,35701.84439659998,CSA4000
2022-02-22,22887.055360211765,CSA4000
2022-03-01,10084.363137530221,CSA4000
2022-03-08,16742.25364491823,CSA4000
2022-03-15,13551.378317904637,CSA4000
2022-03-22,23912.901076116814,CSA4000
2022-03-29,16314.232959660627,CSA4000
2022-01-11,74371.95969270811,CSA5000
2022-01-18,71331.27676449672,CSA5000
2022-01-25,179879.12332399396,CSA5000
2022-02-01,99442.09028574289,CSA5000
2022-02-08,228225.22854069804,CSA5000
2022-02-15,238975.36057419804,CSA5000
2022-02-22,110758.15535888179,CSA5000
2022-03-01,92297.60719509456,CSA5000
2022-03-08,166152.71348880383,CSA5000
2022-03-15,195227.16265560297,CSA5000
2022-03-22,238162.72593648962,CSA5000
2022-03-29,311769.51945355075,CSA5000
2022-01-11,0.0,PEMA-500FR
2022-01-18,30193.08696714775,PEMA-500FR
2022-01-25,17700.184066898062,PEMA-500FR
2022-02-01,18607.089479347618,PEMA-500FR
2022-02-08,29859.095269908277,PEMA-500FR
2022-02-15,298.1921395042783,PEMA-500FR
2022-02-22,4268.522584836626,PEMA-500FR
2022-03-01,17286.608797663554,PEMA-500FR
2022-03-08,30264.837689689957,PEMA-500FR
2022-03-15,44682.61224784397,PEMA-500FR
2022-03-22,45048.13678104875,PEMA-500FR
2022-03-29,62088.44232799715,PEMA-500FR
2022-01-11,0.0,PEMA-580FX
2022-01-18,45668.184987033936,PEMA-580FX
2022-01-25,8921.546695879415,PEMA-580FX
2022-02-01,0.0,PEMA-580FX
2022-02-08,80997.5363137337,PEMA-580FX
2022-02-15,39972.78948483364,PEMA-580FX
2022-02-22,78573.59904525592,PEMA-580FX
2022-03-01,21175.178956444073,PEMA-580FX
2022-03-08,133104.59136484377,PEMA-580FX
2022-03-15,63021.12926928306,PEMA-580FX
2022-03-22,40638.68688696483,PEMA-580FX
2022-03-29,151671.8613891196,PEMA-580FX
2022-01-11,5394.578995904161,PEMA-CR1000
2022-01-18,18476.718456489034,PEMA-CR1000
2022-01-25,8185.088366497288,PEMA-CR1000
2022-02-01,0.0,PEMA-CR1000
2022-02-08,9385.261254047222,PEMA-CR1000
2022-02-15,0.0,PEMA-CR1000
2022-02-22,9832.538672660292,PEMA-CR1000
2022-03-01,0.0,PEMA-CR1000
2022-03-08,23171.398599072567,PEMA-CR1000
2022-03-15,7543.3935246192095,PEMA-CR1000
2022-03-22,0.0,PEMA-CR1000
2022-03-29,8634.394250904465,PEMA-CR1000
2022-01-11,444.17277757594366,PEMA-CSA5000
2022-01-18,399.3868804940856,PEMA-CSA5000
